ID,名前,ルビ,ボード,登場作品,性別,属性,ポジション,カテゴリ,年代区分,学年,チーム,説明文,キック,コントロール,テクニック,プレッシャー,フィジカル,アジリティ,インテリジェンス,ビルド,合計値,シュートAT,フォーカスAT,フォーカスDF,城壁DF,スクランブルAT,スクランブルDF,KP
1,円堂 守,えんどう まもる,1,イナズマイレブン,男,山,GK,選手,中学生,二年生,雷門中 イナズマジャパン,サッカーへの情熱は誰にも負けない。 どんな時でも諦めない　強い心を持つ。,126,135,127,137,147,155,135,せいぎ,962,261,325,339.5,284,282,272,1335
2,豪炎寺 修也,ごうえんじ しゅうや,1,イナズマイレブン,男,火,FW,選手,中学生,二年生,雷門中 イナズマジャパン,クールだが　胸の奥に秘めた サッカーへの思いは炎のようにアツい。,169,161,147,123,119,119,130,せいぎ,968,330,392.5,336.5,242,249,253,1079
5,壁山 塀吾郎,かべやま へいごろう,1,イナズマイレブン,男,山,DF,選手,中学生,一年生,雷門中 イナズマジャパン,その大きな体を使ってのディフェンスは まさに壁のごとし。,126,131,133,142,147,127,159,せいぎ,965,257,327,355.5,289,306,301,1233
6,風丸 一郎太,かぜまる いちろうた,1,イナズマイレブン,男,風,DF,選手,中学生,二年生,雷門中 イナズマジャパン,俊足を活かし敵を翻弄する。 フィールドを疾風のごとく駆け抜ける。,126,131,133,142,147,127,159,せいぎ,965,257,327,355.5,289,306,301,1233
7,染岡 竜吾,そめおか りゅうご,1,イナズマイレブン,男,林,FW,選手,中学生,二年生,雷門中 イナズマジャパン,仲間思いの熱血男。 コワモテだが　陰では努力を欠かさない。,163,156,142,117,114,113,126,テンション,931,319,379.5,324.5,231,240,243,1028
8,栗松 鉄平,くりまつ てっぺい,1,イナズマイレブン,男,火,DF,選手,中学生,一年生,雷門中 イナズマジャパン,雷門中の　おちゃめなムードメーカー。 ガッツなら　どんな選手にだって負けない。,120,126,127,137,142,123,154,カウンター,929,246,313,342.5,279,296,291,1192
9,半田 真一,はんだ しんいち,1,イナズマイレブン,男,風,MF,選手,中学生,二年生,雷門中,何をやっても中途半端。 よく言えばバランス型。,140,151,147,123,123,113,135,せいぎ,932,291,368,338.5,246,258,258,1067
10,松野 空介,まつの くうすけ,1,イナズマイレブン,男,風,FW,選手,中学生,二年生,雷門中,スポーツセンス抜群で　どんな種目でも 器用にこなす反面　ちょっと飽きっぽい。,163,156,142,117,114,113,126,テンション,931,319,379.5,324.5,231,240,243,1028
11,少林寺 歩,しょうりんじ あゆむ,1,イナズマイレブン,男,林,MF,選手,中学生,一年生,雷門中,カンフーの身のこなしでピッチを飛び回る。 石頭なため　彼の全力のヘディングには注意。,140,151,147,123,123,113,135,きずな,932,291,368,338.5,246,258,258,1067
12,宍戸 佐吉,ししど さきち,1,イナズマイレブン,男,火,MF,選手,中学生,一年生,雷門中,雷門中サッカー部のイジられキャラ。 ファンキーな髪型だが　すこし気弱で臆病。,140,151,147,123,123,113,135,きずな,932,291,368,338.5,246,258,258,1067
